"","frog_mort","car_num","location","year","species"
"1",25.5675928117752,44.7170366837041,"Site 1",2010,"species 1"
"2",27.82532276549,49.7021107843317,"Site 1",2010,"species 2"
"3",26.3678989986885,30.372211522453,"Site 1",2010,"species 3"
"4",27.669175361113,53.736580187125,"Site 1",2011,"species 1"
"5",26.4743992491991,50.7151614173233,"Site 1",2011,"species 2"
"6",27.0030277167632,46.723296639141,"Site 1",2011,"species 3"
"7",25.0670335251574,43.4800403113895,"Site 1",2012,"species 1"
"8",25.396217477631,50.4262617387306,"Site 1",2012,"species 2"
"9",24.6156808827986,66.0899307326012,"Site 1",2012,"species 3"
"10",28.4553174960865,49.2805051054268,"Site 1",2013,"species 1"
"11",27.1772226724456,45.1377003651045,"Site 1",2013,"species 2"
"12",25.1322205742891,44.0030259440368,"Site 1",2013,"species 3"
"13",25.3115055833314,64.3533150513574,"Site 1",2014,"species 1"
"14",26.9223496644131,55.6788296209156,"Site 1",2014,"species 2"
"15",25.4935893528322,40.0925290958802,"Site 1",2014,"species 3"
"16",26.5739916282238,45.4705004387467,"Site 1",2015,"species 1"
"17",26.5566103855347,64.1083636547716,"Site 1",2015,"species 2"
"18",26.3407377452406,60.1054919039026,"Site 1",2015,"species 3"
"19",25.4452351614773,62.1841048492627,"Site 1",2016,"species 1"
"20",28.8391027951934,59.141449661211,"Site 1",2016,"species 2"
"21",26.1531464086522,50.8257272182911,"Site 1",2016,"species 3"
"22",25.3897191293672,42.2584253275186,"Site 1",2017,"species 1"
"23",26.5042468852007,55.1913702459459,"Site 1",2017,"species 2"
"24",26.8258334511439,45.2404564978448,"Site 1",2017,"species 3"
"25",25.3390468000606,61.4852901336367,"Site 1",2018,"species 1"
"26",25.3274517113399,55.1738578817975,"Site 1",2018,"species 2"
"27",25.3106268384503,49.2205237773144,"Site 1",2018,"species 3"
"28",25.6692786629555,52.7306565436167,"Site 1",2019,"species 1"
"29",28.007719626442,51.4104716958013,"Site 1",2019,"species 2"
"30",24.26195386065,50.0236956535308,"Site 1",2019,"species 3"
"31",23.1917441131501,38.8914237042263,"Site 2",2010,"species 1"
"32",26.4241469636949,33.8771456245735,"Site 2",2010,"species 2"
"33",27.490042490859,46.6272448004283,"Site 2",2010,"species 3"
"34",26.6738410411514,50.8269347449223,"Site 2",2011,"species 1"
"35",26.0314339103324,49.1331722460276,"Site 2",2011,"species 2"
"36",25.3613432383712,57.0860065128089,"Site 2",2011,"species 3"
"37",26.4398943696247,45.5890026432804,"Site 2",2012,"species 1"
"38",26.1302995603164,45.2425180707929,"Site 2",2012,"species 2"
"39",26.6800318218876,50.2857360172122,"Site 2",2012,"species 3"
"40",25.1549823093809,36.81153032788,"Site 2",2013,"species 1"
"41",24.7395523847894,47.1270336931914,"Site 2",2013,"species 2"
"42",25.3005771981919,50.2423506277151,"Site 2",2013,"species 3"
"43",24.8419971880203,64.7732923568741,"Site 2",2014,"species 1"
"44",26.139175524013,48.0245703702343,"Site 2",2014,"species 2"
"45",26.3834028734843,47.6435276921285,"Site 2",2014,"species 3"
"46",26.343052514876,53.6389955639452,"Site 2",2015,"species 1"
"47",25.1799090911059,38.8691488324858,"Site 2",2015,"species 2"
"48",26.1657323514883,42.4278235075194,"Site 2",2015,"species 3"
"49",25.379731025895,50.0046752424751,"Site 2",2016,"species 1"
"50",25.2039790099436,48.3289834055152,"Site 2",2016,"species 2"
"51",24.9179804638346,36.421450303056,"Site 2",2016,"species 3"
"52",26.8579379924034,56.276914428824,"Site 2",2017,"species 1"
"53",26.2211849245889,42.0117405815507,"Site 2",2017,"species 2"
"54",24.8502865491404,69.7449282110682,"Site 2",2017,"species 3"
"55",27.1487485849898,56.7535515441159,"Site 2",2018,"species 1"
"56",25.1473628827359,48.8415697069018,"Site 2",2018,"species 2"
"57",25.500322353629,49.5395007238983,"Site 2",2018,"species 3"
"58",25.5451907242161,49.1443594539823,"Site 2",2019,"species 1"
"59",25.5484240526819,46.9899652424152,"Site 2",2019,"species 2"
"60",25.3578233090206,51.6265804445057,"Site 2",2019,"species 3"
"61",25.0601884207555,52.1871650562293,"Site 3",2010,"species 1"
"62",25.3972605883262,53.5846750607784,"Site 3",2010,"species 2"
"63",26.5682932328787,31.6216049244218,"Site 3",2010,"species 3"
"64",25.6721039264381,68.1774066294891,"Site 3",2011,"species 1"
"65",26.2985355427594,48.1656711186936,"Site 3",2011,"species 2"
"66",25.2819462723572,55.6240591697262,"Site 3",2011,"species 3"
"67",26.93578248047,47.493181120409,"Site 3",2012,"species 1"
"68",25.4532826030281,33.7886970491615,"Site 3",2012,"species 2"
"69",26.7593342007393,54.3063546436049,"Site 3",2012,"species 3"
"70",26.1415491418473,51.2881671801299,"Site 3",2013,"species 1"
"71",24.8311878923508,62.9815963298636,"Site 3",2013,"species 2"
"72",26.7533405797958,44.3814282435285,"Site 3",2013,"species 3"
"73",26.760956492907,41.0589263267263,"Site 3",2014,"species 1"
"74",25.1643898301971,43.4013309196258,"Site 3",2014,"species 2"
"75",26.0655282731313,38.9697673536133,"Site 3",2014,"species 3"
"76",26.2354955849776,45.9810597835759,"Site 3",2015,"species 1"
"77",24.550701597662,62.80575035579,"Site 3",2015,"species 2"
"78",24.5743200135489,54.2306472009416,"Site 3",2015,"species 3"
"79",25.0628911021185,42.6690406591357,"Site 3",2016,"species 1"
"80",25.1322996278214,44.3712910374408,"Site 3",2016,"species 2"
"81",26.4154372489998,40.805629986971,"Site 3",2016,"species 3"
"82",25.369569984609,52.4216416315782,"Site 3",2017,"species 1"
"83",25.7629767755215,50.1331760167815,"Site 3",2017,"species 2"
"84",25.3033163669455,65.8901830266204,"Site 3",2017,"species 3"
"85",28.665555045485,58.2747680978294,"Site 3",2018,"species 1"
"86",25.7638913005787,42.5998222394419,"Site 3",2018,"species 2"
"87",25.1297542965435,32.3815536431841,"Site 3",2018,"species 3"
"88",26.0602559136895,34.1773315156498,"Site 3",2019,"species 1"
"89",24.7908477482886,46.377361712574,"Site 3",2019,"species 2"
"90",26.1301755640639,46.1456810134824,"Site 3",2019,"species 3"
"91",13.8903957549688,4.54136761962446,"Site 1",2020,"Species A"
"92",14.7810946570229,11.0626365249136,"Site 1",2020,"Species B"
"93",15.7486997512307,25.7339082405473,"Site 1",2020,"Species C"
"94",14.5850970801442,15.828527120093,"Site 2",2020,"Species A"
"95",15.0006916538749,23.3535640642897,"Site 2",2020,"Species B"
"96",16.3118912574514,23.7633964358936,"Site 2",2020,"Species C"
"97",13.8182444914265,16.3770674931628,"Site 3",2020,"Species A"
"98",14.810860386557,38.6735175538522,"Site 3",2020,"Species B"
"99",14.8738260115799,43.3261350499736,"Site 3",2020,"Species C"
